ConditionCode,Condition,Address,StoreName,Classify,Lat,Long
1,영업/정상,서울특별시 서초구 서초중앙로22길 25 (서초동),대림서초리시온,그 밖의 대규모점포,201295.700037578,443474.524864903
1,영업/정상,서울특별시 서초구 서초중앙로 188 (서초동),아크로비스타 아케이드,그 밖의 대규모점포,201107.634736928,443999.067092566
1,영업/정상,서울특별시 서초구 강남대로 465 (서초동),교보타워 지하아케이드,전문점,202058.674687128,444618.16731522
1,영업/정상,서울특별시 서초구 방배로33길 29 (방배동),이수시장,그 밖의 대규모점포,198984.364832071,443229.835878514
1,영업/정상,서울특별시 서초구 양재대로 159 (양재동),코스트코코리아,대형마트,203123.870437513,439984.847528537
1,영업/정상,서울특별시 서초구 신반포로3길 8 (반포동),반포프라자,그 밖의 대규모점포,198776.113460442,444432.325191038
1,영업/정상,서울특별시 서초구 효령로 391 (서초동 무지개아파트),무지개종합상가,그 밖의 대규모점포,202245.377899369,442987.986999742
1,영업/정상,서울특별시 서초구 신반포로 194 (반포동),터미널상가,그 밖의 대규모점포,200554.74395758,444811.364826199
1,영업/정상,서울특별시 서초구 매헌로 16 (양재동하이브랜드 지하1층),(주)이마트 양재점,대형마트,203204.755637424,440136.781183797
1,영업/정상,서울특별시 서초구 나루터로 32 (잠원동),대림상가,그 밖의 대규모점포,,
1,영업/정상,서울특별시 서초구 고무래로 90-7 (서초동),서초쇼핑,그 밖의 대규모점포,201472.668856726,444193.267014675
1,영업/정상,서울특별시 서초구 서초중앙로 220 (반포동),한양스토아,그 밖의 대규모점포,201160.045636579,444426.564326186
3,폐업,서울특별시 서초구 신반포로 326 (반포동),홈플러스(주) 익스프레스 서울논현역점,복합쇼핑몰,201658.76521908,445341.749545748
3,폐업,서울특별시 서초구 잠원로4길 54 (잠원동 매일종합상가),매일종합상가,그 밖의 대규모점포,201024.481364815,445492.334204608
3,폐업,서울특별시 서초구 서초대로 385 (서초동),진흥종합상가,그 밖의 대규모점포,201952.309841677,443904.461723691
3,폐업,서울특별시 서초구 서초대로 34 (방배동),홈플러스익스프레스 방배점,복합쇼핑몰,198709.207041029,442599.234175666
1,영업/정상,,삐에로쇼핑 강남논현점,구분없음,201994.292033914,445091.876704064
